"TV","Radio","Newspaper","Sales","Market"
218.5,5.4,27.4,12.2,"Urban"
131.1,42.8,28.9,18,"SubUrban"
25,11,29.7,7.2,"Rural"
56.2,5.7,29.7,8.7,"Rural"
97.2,1.5,30,9.6,"Rural"
253.8,21.3,30,17.6,"Urban"
172.5,18.1,30.7,14.4,"Urban"
129.4,5.7,31.3,11,"Urban"
175.1,22.5,31.5,14.9,"Urban"
202.5,22.3,31.6,16.6,"Urban"
17.2,4.1,31.6,5.9,"Rural"
109.8,14.3,31.7,12.4,"Rural"
228,37.7,32,21.5,"SubUrban"
75.3,20.3,32.5,11.3,"Rural"
28.6,1.5,33,7.3,"Rural"
213.5,43,33.8,21.7,"SubUrban"
104.6,5.7,34.4,10.4,"Rural"
78.2,46.8,34.5,14.6,"SubUrban"
199.8,3.1,34.6,11.4,"Urban"
131.7,18.4,34.6,12.9,"Urban"
43.1,26.7,35.1,10.1,"Rural"
170.2,7.8,35.2,11.7,"Urban"
68.4,44.5,35.6,13.6,"Rural"
89.7,9.9,35.7,10.6,"Rural"
66.9,11.7,36.8,9.7,"Rural"
239.8,4.1,36.9,12.3,"Urban"
280.7,13.9,37,16.1,"Urban"
210.8,49.6,37.7,23.8,"SubUrban"
171.3,39.7,37.7,19,"SubUrban"
220.5,33.2,37.9,20.1,"SubUrban"
112.9,17.4,38.6,11.9,"Rural"
177,33.4,38.7,17.1,"SubUrban"
199.1,30.6,38.7,18.3,"SubUrban"
96.2,14.8,38.9,11.4,"Rural"
216.4,41.7,39.6,22.6,"SubUrban"
70.6,16,40.8,10.5,"Rural"
7.3,28.1,41.4,5.5,"Rural"
276.9,48.9,41.8,27,"SubUrban"
265.2,2.9,43,12.7,"Urban"
59.6,12,43.1,9.7,"Rural"
292.9,28.3,43.2,21.4,"SubUrban"
25.1,25.7,43.3,8.5,"Rural"
243.2,49,44.3,25.4,"SubUrban"
44.5,39.3,45.1,10.4,"Rural"
219.8,33.5,45.1,19.6,"SubUrban"
11.7,36.9,45.2,7.3,"Rural"
74.7,49.4,45.7,14.7,"SubUrban"
135.2,41.7,45.9,17.2,"SubUrban"
204.1,32.9,46,19,"SubUrban"
141.3,26.8,46.2,15.5,"SubUrban"
164.5,20.9,47.4,14.5,"Urban"
121,8.4,48.7,11.6,"Rural"
85.7,35.8,49.3,13.3,"Rural"
13.2,15.9,49.6,5.6,"Rural"
222.4,4.3,49.8,11.7,"Urban"
227.2,15.8,49.9,14.8,"Urban"
18.8,21.7,50.4,7,"Rural"
93.9,43.5,50.5,15.3,"SubUrban"
7.8,38.9,50.6,6.6,"Rural"
289.7,42.3,51.2,25.4,"SubUrban"
109.8,47.8,51.4,16.7,"SubUrban"
75.1,35,52.7,12.6,"Rural"
195.4,47.7,52.9,22.4,"SubUrban"
163.3,31.6,52.9,16.9,"SubUrban"
218.4,27.7,53.4,18,"SubUrban"
261.3,42.7,54.7,24.2,"SubUrban"
281.4,39.6,55.8,24.4,"SubUrban"
225.8,8.2,56.5,13.4,"Urban"
215.4,23.6,57.6,17.1,"SubUrban"
180.8,10.8,58.4,12.9,"Urban"
151.5,41.3,58.5,18.5,"SubUrban"
182.6,46.2,58.7,21.2,"SubUrban"
217.7,33.5,59,19.4,"SubUrban"
137.9,46.4,59,19.2,"SubUrban"
273.7,28.9,59.7,20.8,"SubUrban"
198.9,49.4,60,23.7,"SubUrban"
110.7,40.6,63.2,16,"SubUrban"
36.9,38.6,65.6,10.8,"Rural"
193.2,18.4,65.7,15.2,"SubUrban"
23.8,35.1,65.9,9.2,"Rural"
283.6,42,66.2,25.5,"SubUrban"
230.1,37.8,69.2,22.1,"SubUrban"
17.2,45.9,69.3,9.3,"Rural"
287.6,43,71.8,26.2,"SubUrban"
250.9,36.5,72.3,22.2,"SubUrban"
88.3,25.5,73.4,12.9,"Rural"
229.5,32.3,74.2,19.7,"SubUrban"
8.7,48.9,75,7.2,"Rural"
193.7,35.4,75.6,19.2,"SubUrban"
125.7,36.9,79.2,15.9,"SubUrban"
234.5,3.4,84.8,11.9,"Urban"
16.9,43.7,89.4,8.7,"Rural"
296.4,36.3,100.9,23.8,"SubUrban"
67.8,36.6,114,12.5,"SubUrban"
